edge_srcName,edge_srcId,edge_dstName,edge_dstId
org.apache.lucene.index.DocInverterPerThread,0,org.apache.lucene.analysis.Tokenizer,109
org.apache.lucene.search.FuzzyQuery,1,org.apache.lucene.index.IndexReader,268
org.apache.lucene.search.FuzzyQuery,1,org.apache.lucene.index.TermDocs,9
org.apache.lucene.search.FuzzyQuery,1,org.apache.lucene.util.PriorityQueue,215
org.apache.lucene.search.FuzzyQuery,1,org.apache.lucene.util.ToStringUtils,95
org.apache.lucene.search.QueryTermVector,2,org.apache.lucene.analysis.Analyzer,288
org.apache.lucene.search.QueryTermVector,2,org.apache.lucene.analysis.Tokenizer,109
org.apache.lucene.search.QueryTermVector,2,org.apache.lucene.analysis.TokenStream,228
org.apache.lucene.search.QueryTermVector,2,org.apache.lucene.index.TermFreqVector,81
org.apache.lucene.index.DirectoryIndexReader,4,org.apache.lucene.store.Directory,28
org.apache.lucene.index.DirectoryIndexReader,4,org.apache.lucene.store.LockFactory,30
org.apache.lucene.index.DirectoryIndexReader,4,org.apache.lucene.store.LockObtainFailedException,158
org.apache.lucene.index.FieldsWriter,6,org.apache.lucene.document.Document,37
org.apache.lucene.index.FieldsWriter,6,org.apache.lucene.document.Fieldable,116
org.apache.lucene.index.FieldsWriter,6,org.apache.lucene.store.Directory,28
org.apache.lucene.index.FieldsWriter,6,org.apache.lucene.store.RAMOutputStream,298
org.apache.lucene.index.FieldsWriter,6,org.apache.lucene.store.IndexOutput,74
org.apache.lucene.index.FieldsWriter,6,org.apache.lucene.store.IndexInput,61
org.apache.lucene.index.SegmentTermPositions,7,org.apache.lucene.store.IndexInput,61
org.apache.lucene.index.MultipleTermPositions,8,org.apache.lucene.util.PriorityQueue,215
org.apache.lucene.index.TermsHashConsumerPerField,13,org.apache.lucene.document.Fieldable,116
org.apache.lucene.index.TermsHashConsumerPerField,13,org.apache.lucene.analysis.Tokenizer,109
org.apache.lucene.search.BooleanQuery,17,org.apache.lucene.index.IndexReader,268
org.apache.lucene.search.BooleanQuery,17,org.apache.lucene.util.ToStringUtils,95
org.apache.lucene.search.TermQuery,21,org.apache.lucene.index.TermDocs,9
org.apache.lucene.search.TermQuery,21,org.apache.lucene.index.TermDocs,9
org.apache.lucene.search.TermQuery,21,org.apache.lucene.index.IndexReader,268
org.apache.lucene.search.TermQuery,21,org.apache.lucene.util.ToStringUtils,95
org.apache.lucene.queryParser.MultiFieldQueryParser,24,org.apache.lucene.analysis.Analyzer,288
org.apache.lucene.queryParser.MultiFieldQueryParser,24,org.apache.lucene.search.BooleanClause,256
org.apache.lucene.queryParser.MultiFieldQueryParser,24,org.apache.lucene.search.BooleanQuery,17
org.apache.lucene.queryParser.MultiFieldQueryParser,24,org.apache.lucene.search.MultiPhraseQuery,238
