node_id,node_className,node_metrics,node_ast_wpdp,node_ast_cpdp,node_label
0,org.apache.lucene.analysis.WhitespaceAnalyzer,"[2.0, 2.0, 0.0, 3.0, 4.0, 1.0, 0.0, 3.0, 2.0, 2.0, 10.0, 0.0, 0.0, 0.666666667, 0.666666667, 0.0, 0.0, 4.0, 1.0, 0.5, 10.0, 0.0, 10.0, 0.0]",[3.4165797],[1.2993611],0
1,org.apache.lucene.search.QueryTermVector,"[10.0, 1.0, 0.0, 4.0, 37.0, 0.0, 0.0, 4.0, 9.0, 0.388888889, 278.0, 1.0, 0.0, 0.0, 0.34, 0.0, 0.0, 26.6, 5.0, 1.6, 278.0, 0.0, 278.0, 0.0]","[3.4165797, 2.6996422, 1.3528644, 2.6996422, 3.520798, 3.100579, 2.4354088, 2.17175, 0.8741431, 1.332369, 2.2844026, 3.4165797, 2.6996422, 1.3304785, 3.1720178, 3.1093037, 2.6996422, 2.293967, 2.17175, 2.17175, 3.1093037, 0.2185484, 2.383939, 0.2185484, 0.2185484, 1.332369, 2.2844026, 3.1720178, 1.4650867, 1.5780795, 2.4354088, 0.2185484, 3.4165797, 1.4392926, 3.1720178, 2.6996422, 1.4392926, 1.4392926, 1.4392926, 1.4392926, 1.4392926, 2.7006373, 3.4165797, 3.4165797, 3.4165797, 3.4165797, 3.4165797, 3.1720178, 0.09825876]","[1.2993611, 1.2724662, 1.4010327, 1.2724662, 1.4010327, 1.7931423, 1.3347503, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2993611, 1.4010327, 1.2724662, 1.4567809, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.4567809, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2993611, 1.2724662, 1.4567809, 1.4010327, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2993611, 1.2993611, 1.2993611, 1.2993611, 1.2724662, 1.2993611, 1.4567809, 1.2724662]",0
2,org.apache.lucene.analysis.PorterStemmer,"[27.0, 1.0, 0.0, 1.0, 43.0, 13.0, 1.0, 0.0, 13.0, 0.600961538, 1174.0, 1.0, 0.0, 0.0, 0.25308642, 0.0, 0.0, 42.18518519, 26.0, 5.7407, 1174.0, 0.0, 1174.0, 0.0]","[3.4165797, 3.4165797, 2.6996422, 3.1720178, 3.4165797, 3.4165797, 3.4165797, 3.4165797, 1.5149597, 0.7671253, 3.4165797, 3.100579, 2.6996422, 2.6996422, 0.7671253, 1.6797669, 3.100579, 3.100579, 2.6996422, 2.6996422, 0.7671253, 1.6797669, 3.100579, 2.6996422, 2.6996422, 0.7671253, 1.6797669, 3.4165797, 3.1720178, 2.6996422, 0.7671253, 3.4165797, 2.6996422, 2.6996422, 0.7671253, 3.4165797, 2.6996422, 0.7671253, 0.7671253, 0.7671253, 2.6996422, 3.4165797, 2.211493, 2.6996422, 3.1720178, 2.6996422, 1.0429887, 3.4165797, 2.211493, 3.1720178, 1.0429887, 3.4165797, 2.6996422, 1.6184725, 1.444112, 3.4165797, 2.6996422, 2.6996422, 2.2056005, 2.6996422, 2.2056005, 1.444112, 2.6996422, 2.6996422, 2.2056005, 2.6996422, 1.6184725, 2.6996422, 2.2056005, 2.2056005, 2.6996422, 2.2056005, 1.444112, 2.6996422, 2.2056005, 1.444112, 2.6996422, 2.2056005, 1.444112, 2.6996422, 2.6996422, 2.6996422, 1.6184725, 1.444112, 3.4165797, 2.6996422, 2.2056005, 3.4165797, 2.6996422, 1.5149597, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 3.4165797, 1.5149597, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 1.6797669, 2.6996422, 2.2056005, 1.1031109, 1.6797669, 1.6797669, 3.4165797, 2.6996422, 1.5149597, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 2.2056005, 1.6797669, 2.6996422, 1.6184725, 3.4165797, 2.6996422, 1.6184725, 2.6996422, 2.6996422, 1.6184725, 3.4165797, 2.6996422, 0.48222765, 2.211493, 2.7006373, 3.4165797, 0.48222765, 3.4165797, 1.2332096, 2.6996422, 3.1720178, 0.48222765, 3.4165797, 0.48222765, 3.4165797, 0.48222765, 3.4165797, 2.6996422, 2.6996422, 3.4165797, 3.1720178, 3.520798, 1.8376421, 1.2332096, 3.100579, 2.6996422, 1.8376421, 2.6996422, 2.6996422, 2.17175, 0.82728773, 0.48222765, 0.7976907, 2.7006373, 1.2332096, 2.6996422, 1.6797669, 0.7976907, 2.6015804, 1.9121374]","[1.2993611, 1.2993611, 1.4010327, 1.4567809, 1.2993611, 1.2993611, 1.2993611, 1.2993611, 2.2568488, 1.2724662, 1.2993611, 1.3347503, 1.4010327, 1.4010327, 1.2724662, 1.6719717, 1.3347503, 1.3347503, 1.4010327, 1.4010327, 1.2724662, 1.6719717, 1.3347503, 1.4010327, 1.4010327, 1.2724662, 1.6719717, 1.2993611, 1.4567809, 1.4010327, 1.2724662, 1.2993611, 1.4010327, 1.4010327, 1.2724662, 1.2993611, 1.4010327, 1.2724662, 1.2724662, 1.2724662, 1.4010327, 1.2993611, 1.2724662, 1.4010327, 1.4567809, 1.4010327, 1.2724662, 1.2993611, 1.2724662, 1.4567809, 1.2724662, 1.2993611, 1.4010327, 1.2724662, 1.2724662, 1.2993611, 1.4010327, 1.4010327, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.4010327, 1.4010327, 1.2724662, 1.4010327, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.4010327, 1.2724662, 1.4010327, 1.4010327, 1.2724662, 1.2724662, 1.2724662, 1.2993611, 1.4010327, 1.2724662, 1.2724662, 1.2993611, 1.4010327, 2.2568488, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.2993611, 2.2568488, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.6719717, 1.4010327, 1.2724662, 1.2724662, 1.6719717, 1.6719717, 1.2993611, 1.4010327, 2.2568488, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.6719717, 1.4010327, 1.2724662, 1.2993611, 1.4010327, 1.2724662, 1.4010327, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.2993611, 1.4010327, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2993611, 1.2724662, 1.2993611, 1.2724662, 1.4010327, 1.4567809, 1.2724662, 1.2993611, 1.2724662, 1.2993611, 1.2724662, 1.2993611, 1.4010327, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.4010327, 1.2993611, 1.4567809, 1.7931423, 1.2724662, 1.2724662, 1.3347503, 1.4010327, 1.2724662, 1.4010327, 1.4010327, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.4010327, 1.6719717, 1.2724662, 1.2724662, 1.2724662]",0
3,org.apache.lucene.index.TermPositions,"[1.0, 1.0, 0.0, 21.0, 1.0, 0.0, 20.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",[3.4165797],[1.2993611],1
4,org.apache.lucene.analysis.TokenStream,"[3.0, 1.0, 2.0, 19.0, 4.0, 3.0, 18.0, 1.0, 3.0, 2.0, 7.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.333333333, 1.0, 0.6667, 7.0, 0.0, 7.0, 0.0]","[3.4165797, 3.4165797]","[1.2993611, 1.2993611]",1
5,org.apache.lucene.search.ExactPhraseScorer,"[2.0, 3.0, 0.0, 8.0, 8.0, 1.0, 2.0, 6.0, 0.0, 2.0, 61.0, 0.0, 0.0, 0.952380952, 0.583333333, 1.0, 1.0, 29.5, 1.0, 0.5, 61.0, 0.0, 61.0, 0.0]","[3.4165797, 3.1720178, 2.293967, 1.9484103, 1.3235972, 3.100579, 1.9484103, 2.6996422, 1.3235972, 0.4778359]","[1.2993611, 1.4567809, 1.2724662, 1.2724662, 1.2724662, 1.3091581, 1.2724662, 1.3347503, 1.3091581, 1.4010327, 1.2724662, 1.2724662]",1
6,org.apache.lucene.search.RangeFilter,"[7.0, 2.0, 0.0, 6.0, 30.0, 1.0, 1.0, 5.0, 7.0, 0.0, 373.0, 1.0, 0.0, 0.142857143, 0.314285714, 1.0, 1.0, 51.57142857, 12.0, 3.5714, 373.0, 0.0, 373.0, 0.0]","[2.6996422, 2.6785033, 2.6996422, 2.6785033, 2.6996422, 2.6785033, 3.4165797, 3.4165797, 3.4165797, 2.2603755, 1.8963897, 1.8963897, 3.520798, 2.6996422, 1.8504364, 2.6996422, 1.77613, 3.520798, 1.9484103, 2.4354088, 1.8504364, 2.6996422, 1.5867926, 1.6741846, 2.6996422, 2.7392478, 1.8842732, 2.6996422, 1.8842732, 2.7392478, 2.6996422, 1.6797669, 1.4977179, 1.8504364, 3.100579, 2.4354088, 2.383939, 2.8736875, 1.6797669, 2.6015804, 2.6015804, 3.4165797, 1.4392926, 1.4392926, 1.4392926, 2.6996422, 1.4392926, 1.4392926, 2.6996422, 1.4392926, 1.4392926, 2.7006373, 3.4165797, 2.6996422, 2.6996422, 2.6996422, 1.6741846, 2.6996422, 1.6741846, 2.6996422, 1.6741846, 3.4165797, 1.9032898, 1.9032898, 1.9032898]","[1.4010327, 1.7244606, 1.4010327, 1.7244606, 1.4010327, 1.7244606, 1.2993611, 1.2993611, 1.2993611, 1.2724662, 1.2724662, 1.2724662, 1.7931423, 1.4010327, 1.2724662, 1.4010327, 1.2724662, 1.7931423, 1.3091581, 1.2724662, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.4010327, 1.6719717, 1.2724662, 1.2724662, 1.3347503, 1.2724662, 1.2724662, 1.2724662, 1.6719717, 1.2724662, 1.2724662, 1.2993611, 1.2724662, 1.2724662, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.2724662, 1.2993611, 1.4010327, 1.4010327, 1.4010327, 1.2724662, 1.4010327, 1.2724662, 1.4010327, 1.2724662, 1.2993611, 1.2724662, 1.2724662, 1.2724662]",0
7,org.apache.lucene.index.SegmentInfo,"[1.0, 1.0, 0.0, 5.0, 2.0, 0.0, 4.0, 1.0, 1.0, 2.0, 16.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 12.0, 0.0, 0.0, 16.0, 0.0, 16.0, 0.0]",[],[],1
8,org.apache.lucene.store.BufferedIndexInput,"[9.0, 2.0, 3.0, 4.0, 14.0, 0.0, 3.0, 1.0, 6.0, 0.575, 204.0, 0.8, 0.0, 0.619047619, 0.416666667, 1.0, 4.0, 21.11111111, 2.0, 1.0, 204.0, 0.0, 204.0, 0.0]","[3.4165797, 2.6996422, -0.6533658, 3.4165797, 2.6996422, 3.1720178, 1.8949171, 2.368458, 3.4165797, 2.6996422, 2.211493, 2.211493, 2.6996422, 2.6785033, 2.6996422, 3.4165797, 3.4165797, 3.4165797, 2.6996422, 3.4165797, 3.4165797, 2.6996422, 1.9205186]","[1.2993611, 1.4010327, 1.2724662, 1.2993611, 1.4010327, 1.4567809, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2993611, 1.4010327, 1.2724662, 1.2724662, 1.4010327, 1.7244606, 1.4010327, 1.2724662, 1.2993611, 1.2993611, 1.2993611, 1.4010327, 1.2724662, 1.2993611, 1.2993611, 1.4010327, 1.2724662]",1
9,org.apache.lucene.index.TermInfosWriter,"[6.0, 1.0, 0.0, 8.0, 29.0, 0.0, 2.0, 6.0, 0.0, 0.436363636, 383.0, 0.727272727, 5.0, 0.0, 0.479166667, 0.0, 0.0, 61.0, 1.0, 0.6667, 383.0, 0.0, 383.0, 0.0]","[1.601589, 1.601589, 3.4165797, 1.441473, 1.6327161, 1.7840158, 1.6327161, 1.6327161, 3.4165797, 2.6996422, 1.8842732, 2.6785033, 2.6996422, 2.6785033, 2.6996422, 2.6785033, 2.6996422, 2.17175, 2.3949573, 0.5385052, 0.5385052, 2.6996422, 2.3949573, 2.6996422, 0.5385052, 2.368458, 2.368458, 2.383939, 3.4165797, 2.211493, 2.3949573, 2.3949573, -0.008171247, 2.3949573, 0.24347275, 3.4165797, 1.4977179, 1.7840158, 2.6015804, 2.6996422, 2.6015804]","[1.2724662, 1.2724662, 1.2993611, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2993611, 1.4010327, 1.2724662, 1.7244606, 1.4010327, 1.7244606, 1.4010327, 1.7244606, 1.4010327, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.4010327, 1.2724662, 1.4010327, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2993611, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2724662, 1.2993611, 1.2724662, 1.2724662, 1.2724662, 1.4010327, 1.2724662]",1
