node_id,node_className,node_metrics,node_ast_wpdp,node_ast_cpdp,node_label
0,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/AbstractJRubyMojo.java,"[1.0, 9.0, 234.0, 6.0, 0.0, 1.0, 0.0, 26.0, 2.0, 11.0, 0.0, 0.0, 2.0, 13.0, 34.0, 2.0, 13.0, 22.0, 59.0, 5.0, 7.0, 6.0, 7.0, 94.0, 26.0, 13.0, 62.0, 159.0, 70.0, 0.21, 41.0, 132.0, 5.0, 109.0, 1.0, 13.0, 2.0, 80.0, 2.0, 3.0, 1.0, 2.0, 13.0, 3.46153846153846, 1.0, 21.0, 4.38461538461539, 1.0, 16.0, 2.84615384615385, 1.0, 3.0, 0.941176470588235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[-3.2681758, -0.39076766, -4.1616936, -3.715281, -3.6531796, -1.9998053, -3.759826, -0.7648369, -3.759826, -0.7648369, -1.9998053, -3.2512705, -3.6531796, -1.9998053, -3.759826, -0.7648369, -3.759826, -0.7648369, -1.1123555, -3.2512705, -3.6465333, -1.9998053, -3.2681758, -3.759826, -3.759826, -3.6465333, -3.759826, -0.8395133, -2.4015841, -2.9801471, -1.7322294, -3.2681758, -3.2681758, 0.09349966, 0.09349966, -3.2681758, -2.9801471, -3.6465333, -2.579652, -2.6694696, -3.7371109, -3.6531796, -3.3760238, -3.6531796, -3.715281, -2.5369215, -3.2512705, -3.759826, -0.23967153, -1.9522263, -2.579652, 0.09349966, -3.2681758, -2.8287926, -3.2681758, -2.8287926, -3.2681758, -2.8287926, -3.2681758, -2.8287926, -3.2681758, -2.8287926, -3.2681758, -2.8287926, -3.2681758, -2.8287926, -3.2681758, -3.3715687, -0.8155618, -3.801397, -4.667033, -3.1177568, -3.801397, -4.667033, -1.1082891, -3.801397, -4.667033, -1.1123555, -3.801397, -4.667033, -1.1123555, -3.801397, -4.667033, -1.1082891, -3.801397, -4.667033]","[-0.9522005, -0.94499636, -1.408071, -0.94499636, -1.3393829, -0.94499636, -0.94499636, -0.94499636, -1.290654, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -1.290654, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -1.4436082, -0.94499636, -0.94499636, -0.9522005, -0.94499636, -0.94499636, -1.4436082, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.9522005, -0.94499636, -0.9522005, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.9522005, -0.94499636, -1.4436082, -0.94499636, -0.94499636, -0.94499636, -1.290654, -0.94499636, -1.290654, -1.3393829, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.9522005, -0.94499636, -0.9522005, -0.94499636, -0.9522005, -0.94499636, -0.9522005, -0.94499636, -0.9522005, -0.94499636, -0.9522005, -0.94499636, -0.9522005, -0.94499636, -0.9522005, -0.94499636, -0.94499636, -1.8428264, -0.94499636, -0.94499636, -2.3004436, -0.94499636, -0.94499636, -2.3004436, -0.94499636, -0.94499636, -2.3004436, -0.94499636, -0.94499636, -2.3004436, -0.94499636, -0.94499636, -2.3004436, -0.94499636, -0.94499636, -2.3004436]",0
1,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/GemMojo.java,"[0.0, 7.0, 16.0, 2.0, 0.0, 1.0, 0.0, 2.0, 2.0, 7.0, 0.0, 0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 2.0, 5.0, 0.0, 0.0, 2.0, 1.0, 4.0, 2.0, 1.0, 5.0, 11.0, 3.0, 0.27, 2.0, 8.0, 2.0, 5.0, 0.0, 1.0, 2.0, 0.0, 4.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[-3.2681758, -3.6531796, -0.20578174]","[-0.9522005, -1.290654, -0.94499636]",0
2,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/InstallGemsMojo.java,"[0.0, 3.0, 18.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 3.0, 0.0, 0.0, 1.0, 1.0, 6.0, 1.0, 1.0, 1.0, 5.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 5.0, 8.0, 1.0, 0.75, 4.0, 6.0, 1.0, 4.0, 0.0, 1.0, 1.0, 0.0, 3.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[-3.2681758, -2.2722895]","[-0.9522005, -0.94499636, -0.94499636]",0
3,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/IRBMojo.java,"[0.0, 5.0, 20.0, 2.0, 0.0, 1.0, 0.0, 3.0, 2.0, 5.0, 0.0, 0.0, 2.0, 2.0, 3.0, 1.0, 2.0, 3.0, 6.0, 0.0, 0.0, 2.0, 2.0, 5.0, 3.0, 2.0, 6.0, 14.0, 4.0, 0.21, 3.0, 10.0, 2.0, 6.0, 0.0, 2.0, 2.0, 0.0, 4.0, 0.0, 0.0, 1.0, 1.0, 0.5, 0.0, 2.0, 1.5, 1.0, 2.0, 1.5, 1.0, 1.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[-3.2681758, -3.6531796, -0.20578174]","[-0.9522005, -1.290654, -0.94499636]",0
4,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/JRubyMojo.java,"[0.0, 3.0, 23.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 3.0, 0.0, 0.0, 1.0, 2.0, 6.0, 1.0, 2.0, 2.0, 8.0, 1.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 8.0, 12.0, 2.0, 0.5, 5.0, 10.0, 1.0, 7.0, 0.0, 2.0, 1.0, 50.0, 3.0, 2.0, 0.0, 1.0, 4.0, 2.5, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[-3.2681758, -0.20578174, -3.2681758, -0.8395133, -2.2722895, -1.7322294]","[-0.9522005, -0.94499636, -0.9522005, -0.94499636, -0.94499636, -0.94499636]",0
5,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/RakeMojo.java,"[0.0, 27.0, 63.0, 5.0, 0.0, 1.0, 0.0, 5.0, 5.0, 27.0, 0.0, 0.0, 5.0, 1.0, 16.0, 1.0, 1.0, 5.0, 19.0, 0.0, 4.0, 5.0, 1.0, 25.0, 5.0, 1.0, 19.0, 41.0, 17.0, 0.39, 6.0, 36.0, 5.0, 30.0, 0.0, 1.0, 5.0, 0.0, 3.0, 0.0, 0.0, 1.0, 4.0, 4.0, 4.0, 13.0, 13.0, 13.0, 8.0, 8.0, 8.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[-3.2681758, -0.39076766, -3.759826, -3.759826, -3.6531796, -4.1616936, -3.7232974, -3.8242152, -3.715281, -3.759826, -3.759826, -2.5369215, -3.6531796, -3.759826, -3.759826, -3.6531796, -1.6922766, 0.05175948, -2.2722895, -0.8395133, -2.4015841, -2.9801471, -1.7322294]","[-0.9522005, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -1.290654, -1.408071, -0.94499636, -0.94499636, -1.3393829, -0.94499636, -0.94499636, -0.94499636, -1.290654, -0.94499636, -0.94499636, -1.290654, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636]",0
6,samples/compiler2/MyObjectTest.java,"[0.0, 5.0, 7.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 3.0, 0.0, 0.0, 1.0, 1.0, 3.0, 1.0, 1.0, 3.0, 7.0, 2.0, 0.0, 0.0, 5.0, 1.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",[-3.2681758],"[-0.9522005, -0.94499636, -0.94499636]",0
7,samples/compiler2/MyObjectTest2.java,"[0.0, 11.0, 13.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 11.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 3.0, 0.0, 0.0, 1.0, 1.0, 9.0, 1.0, 1.0, 3.0, 13.0, 8.0, 0.0, 0.0, 11.0, 1.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 8.0, 8.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",[-3.2681758],"[-0.9522005, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636, -0.94499636]",0
8,spec/java_integration/fixtures/_funky/MyClass.java,"[0.0, 1.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 3.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 1.0, 0.0, 1.0, 4.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",[-3.2681758],[-0.9522005],0
9,spec/java_integration/fixtures/AnotherRunnable.java,"[0.0, 1.0, 5.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 3.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 3.0, 4.0, 0.0, 0.0, 1.0, 3.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",[-3.2681758],[-0.9522005],0
