edge_srcName,edge_srcId,edge_dstName,edge_dstId
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java,0,src/java/org/apache/lucene/analysis/Analyzer.java,739
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java,0,src/java/org/apache/lucene/analysis/CharArraySet.java,743
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java,0,src/java/org/apache/lucene/analysis/LowerCaseFilter.java,753
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java,0,src/java/org/apache/lucene/analysis/StopFilter.java,767
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java,0,src/java/org/apache/lucene/analysis/TokenStream.java,784
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java,0,src/java/org/apache/lucene/analysis/Tokenizer.java,783
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java,0,src/java/org/apache/lucene/analysis/WordlistLoader.java,787
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java,0,src/java/org/apache/lucene/util/Version.java,1129
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicLetterTokenizer.java,1,src/java/org/apache/lucene/analysis/LetterTokenizer.java,752
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicLetterTokenizer.java,1,src/java/org/apache/lucene/util/AttributeSource.java,1095
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicNormalizationFilter.java,2,src/java/org/apache/lucene/analysis/TokenFilter.java,782
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicNormalizationFilter.java,2,src/java/org/apache/lucene/analysis/TokenStream.java,784
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicNormalizationFilter.java,2,src/java/org/apache/lucene/analysis/tokenattributes/TermAttribute.java,778
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicStemFilter.java,4,src/java/org/apache/lucene/analysis/TokenFilter.java,782
